income_declared,work_expense_claim,travel_expense_claim,education_expense,other_deductions,total_deductions,deduction_income_ratio,prior_year_income_delta,prior_year_deduction_delta,refund_requested,filing_method,industry_code,num_dependents,fraud_label
30000,4450,200,10,650,5310,0.177,0.0678,0.2069,540,tax_agent,IT,3,0
95100,32170,12440,8430,3900,56940,0.5987,-0.0393,0.5368,20900,tax_agent,construction,1,1
60600,13470,300,1680,2200,17650,0.2913,0.1381,-0.0943,4180,self,manufacturing,2,0
92100,6850,1200,3320,4050,15420,0.1674,0.0652,-0.0945,7030,tax_agent,finance,4,0
51200,3890,1140,400,990,6420,0.1254,-0.0005,0.0147,3070,self,hospitality,0,0
18400,4930,2100,220,400,7650,0.4158,0.0983,-0.0984,1460,self,construction,0,0
47600,5960,1410,390,2000,9760,0.205,0.2157,0.3691,1670,tax_agent,finance,0,0
87100,12310,730,1690,3120,17850,0.2049,0.0404,-0.0106,2990,tax_agent,finance,4,0
151200,19190,890,1650,2510,24240,0.1603,0.0728,0.0091,7130,tax_agent,manufacturing,2,0
90000,15350,2350,390,3150,21240,0.236,0.1242,0.1009,7780,tax_agent,IT,0,0
161900,14630,920,6000,5060,26610,0.1644,0.1139,0.1879,9520,tax_agent,finance,1,0
54900,13540,1110,1630,1540,17820,0.3246,0.0126,-0.1679,4610,tax_agent,education,0,0
52500,5780,780,2460,1330,10350,0.1971,0.1058,0.0791,4630,tax_agent,retail,2,0
87000,9110,980,4780,1780,16650,0.1914,0.0339,-0.0233,8140,self,finance,1,0
58600,7800,870,3370,1750,13790,0.2353,0.0118,0.0137,5900,tax_agent,retail,2,0
133500,41480,16780,580,1890,60730,0.4549,0.0506,0.1343,21330,self,construction,2,0
33200,3060,1060,740,1650,6510,0.1961,0.0276,0.089,1180,tax_agent,hospitality,0,0
115700,28070,9340,4070,4010,45490,0.3932,-0.1423,-0.2482,12510,tax_agent,real_estate,0,0
139900,17070,4050,7920,6140,35180,0.2515,-0.0224,-0.0816,14390,tax_agent,healthcare,0,0
88000,17900,1910,1630,1700,23140,0.263,-0.1301,-0.0287,8430,tax_agent,IT,2,0
118900,22670,420,1830,1400,26320,0.2214,-0.0539,-0.0803,7730,tax_agent,healthcare,3,0
50400,7350,470,130,810,8760,0.1738,0.1428,-0.0608,3110,tax_agent,IT,0,0
45600,9460,790,2600,2120,14970,0.3283,-0.099,-0.1355,3610,tax_agent,education,2,0
87400,16500,1310,220,2220,20250,0.2317,-0.0554,0.1517,5540,tax_agent,IT,2,0
48400,12910,3920,410,1000,18240,0.3769,0.173,0.3002,7340,tax_agent,transport,0,0
84900,32140,10530,2580,1130,46380,0.5463,0.1093,-0.0405,16720,self,transport,0,0
85000,12030,2270,3040,760,18100,0.2129,-0.0424,0.0465,7070,tax_agent,healthcare,1,0
69400,19230,3560,2070,3120,27980,0.4032,-0.1868,-0.0065,9740,tax_agent,real_estate,0,0
84100,17720,260,3700,1980,23660,0.2813,0.1126,0.0415,5780,tax_agent,education,3,0
102100,16210,10010,5200,2930,34350,0.3364,0.1802,0.2969,9670,self,construction,0,0
68100,13120,210,870,710,14910,0.2189,-0.053,-0.0814,3850,self,IT,0,0
55400,3640,1820,2040,1870,9370,0.1691,-0.0321,-0.011,1280,tax_agent,retail,2,0
113200,10450,2940,2730,1340,17460,0.1542,0.1043,0.1729,4550,tax_agent,hospitality,1,0
83700,5210,2380,990,1220,9800,0.1171,0.1144,0.1904,1390,tax_agent,hospitality,4,0
92300,11020,2970,290,2550,16830,0.1823,0.0755,-0.1632,3500,self,retail,0,0
99200,18470,2580,540,540,22130,0.2231,0.2192,-0.103,8120,tax_agent,manufacturing,1,0
78100,10660,1790,3220,1160,16830,0.2155,0.0318,0.0451,7820,tax_agent,education,2,0
59600,7990,1660,260,80,9990,0.1676,-0.0849,0.0129,2940,self,finance,0,0
51300,7180,750,70,1370,9370,0.1827,-0.1157,0.0532,4240,self,education,1,0
68600,12180,2690,1020,2110,18000,0.2624,-0.0716,0.0278,6050,self,manufacturing,1,0
93800,16160,20,5360,3800,25340,0.2701,-0.1115,-0.0467,7290,self,healthcare,2,0
96300,29780,7700,1900,1830,41210,0.4279,0.1512,-0.0661,10300,self,construction,0,0
77900,4690,1070,4470,250,10480,0.1345,0.1075,0.075,3890,tax_agent,retail,0,0
87400,64750,140,1270,3470,69630,0.7967,0.1389,0.6761,22510,tax_agent,manufacturing,1,1
20617,4540,2380,510,70,7500,0.3638,-0.0368,0.1301,1430,self,real_estate,4,1
55800,18650,5750,2180,500,27080,0.4853,0.0364,-0.0737,9090,self,transport,1,0
104100,25880,10170,830,2040,38920,0.3739,-0.045,-0.078,15770,self,real_estate,4,0
45500,12730,6010,2080,890,21710,0.4771,0.0752,-0.0041,7540,self,real_estate,0,0
77800,10730,1780,2290,2220,17020,0.2188,0.2297,0.0366,4140,self,finance,3,0
74100,8900,2760,310,910,12880,0.1738,0.0517,0.0234,2200,self,retail,2,0
67600,5000,1390,3300,2950,12640,0.187,0.0432,0.0464,2910,self,hospitality,0,0
104600,13960,190,3780,2270,20200,0.1931,0.0472,0.1464,4780,self,IT,1,0
81600,6500,3100,3550,1850,15000,0.1838,0.1524,0.0116,5570,self,retail,2,0
37300,8590,3550,1670,450,14260,0.3823,0.1844,-0.0585,2140,tax_agent,construction,1,0
95600,23650,5880,14040,1130,44700,0.4676,-0.0007,-0.118,12240,tax_agent,transport,0,1
54500,13140,820,2810,430,17200,0.3156,0.0781,0.1029,4600,tax_agent,education,1,0
34000,21090,30,1660,1080,23860,0.7018,0.0317,0.6317,4120,tax_agent,manufacturing,0,1
59787,10810,550,1690,2630,15680,0.2623,-0.052,-0.123,6840,self,education,3,1
37500,5680,1060,910,680,8330,0.2221,-0.001,0.1554,2010,tax_agent,healthcare,2,0
59200,5060,1680,1580,1870,10190,0.1721,0.0653,0.0624,3770,tax_agent,hospitality,3,0
84600,14990,2810,3060,4220,25080,0.2965,0.0961,-0.0166,10700,self,healthcare,0,0
69200,13830,19350,580,1280,35040,0.5064,0.3283,-0.1494,10180,self,healthcare,1,1
51100,13590,1510,1100,630,16830,0.3294,0.0757,-0.0814,6580,tax_agent,IT,0,0
41700,10040,5100,1850,890,17880,0.4288,0.0988,0.1085,4170,self,real_estate,1,0
47400,4910,980,1080,1960,8930,0.1884,0.058,0.1084,1500,tax_agent,healthcare,1,0
39800,3440,390,1330,1940,7100,0.1784,0.0505,-0.2382,830,tax_agent,retail,3,0
67200,7160,1560,780,860,10360,0.1542,0.0551,-0.0296,3000,self,hospitality,0,0
53300,12180,1880,940,1840,16840,0.3159,-0.0805,-0.1633,5510,self,manufacturing,2,0
33700,18100,540,570,500,19710,0.5849,-0.1166,1.0568,4370,self,finance,2,1
61400,8010,2370,2260,1000,13640,0.2221,0.0289,0.1286,3830,tax_agent,healthcare,1,0
50500,11300,1910,60,2420,15690,0.3107,-0.1569,0.3162,4740,tax_agent,construction,0,0
83400,20020,1480,3390,1390,26280,0.3151,-0.0222,-0.0694,10530,tax_agent,education,0,0
87900,13630,1810,960,2410,18810,0.214,-0.0257,-0.0452,3280,self,healthcare,2,0
150600,22580,4710,3240,2290,32820,0.2179,-0.0301,-0.216,14090,tax_agent,IT,1,0
102800,11780,2090,4850,4510,23230,0.226,0.0005,0.1613,5820,self,healthcare,2,0
39600,4020,930,1060,560,6570,0.1659,0.0453,0.0525,510,tax_agent,finance,3,0
21800,5570,1870,280,330,8050,0.3693,0.0608,0.1803,1910,tax_agent,transport,1,0
31200,7460,670,1540,1140,10810,0.3465,-0.2005,0.0119,2630,tax_agent,IT,1,0
54600,6490,1550,2000,1940,11980,0.2194,0.1917,-0.0103,4600,tax_agent,healthcare,0,0
29700,2830,340,310,110,3590,0.1209,-0.0158,0.1107,730,self,hospitality,0,0
51300,9660,3530,360,2430,15980,0.3115,0.0519,0.0375,5100,self,transport,1,0
73300,23700,5720,920,1640,31980,0.4363,0.0867,-0.0351,8230,tax_agent,transport,2,0
52800,10930,1610,1530,350,14420,0.2731,0.0376,0.1465,5190,tax_agent,healthcare,3,0
83900,14110,1740,3070,4010,22930,0.2733,-0.1124,-0.0479,5230,tax_agent,healthcare,1,0
51500,7590,5730,780,580,14680,0.285,0.1352,-0.0229,5340,tax_agent,real_estate,3,0
47400,5460,1140,1020,510,8130,0.1715,0.0075,0.1817,1130,tax_agent,retail,0,0
184200,24980,1150,2810,3590,32530,0.1766,-0.0006,-0.1354,11760,tax_agent,retail,1,0
70700,6010,2560,1090,880,10540,0.1491,0.1492,-0.1922,3960,tax_agent,finance,1,0
76600,15200,130,3780,1900,21010,0.2743,0.0841,-0.1157,5130,self,IT,1,0
114500,30360,26210,1900,5160,63630,0.5557,0.069,0.1238,20640,self,manufacturing,0,1
116600,13770,1990,1800,4920,22480,0.1928,0.2019,-0.1284,4980,self,education,2,0
58900,12420,4070,30,2920,19440,0.3301,0.1035,0.1974,4710,tax_agent,real_estate,0,0
128000,38280,16080,7380,4980,66720,0.5212,0.0827,0.122,25010,tax_agent,construction,0,0
56200,8630,1650,3120,540,13940,0.248,0.0502,-0.1385,3060,tax_agent,IT,0,0
125900,27060,1390,2220,4280,34950,0.2776,0.1677,0.0763,14020,tax_agent,IT,0,0
36500,6600,1400,1060,900,9960,0.2729,0.1167,0.1588,1510,tax_agent,healthcare,0,0
60800,9630,1630,1000,2760,15020,0.247,0.1674,-0.0512,6290,self,healthcare,1,0
81400,8810,1710,3990,1440,15950,0.1959,0.1073,0.1308,4370,tax_agent,retail,0,0
87800,18380,650,140,3060,22230,0.2532,0.0424,0.0437,7550,tax_agent,manufacturing,0,0
45300,6690,120,1710,1890,10410,0.2298,0.0176,-0.1093,2790,tax_agent,IT,0,0
29100,6140,190,1200,1200,8730,0.3,0.0215,0.1008,1790,tax_agent,manufacturing,0,0
92700,8260,2930,4070,3370,18630,0.201,0.0123,0.166,4200,tax_agent,hospitality,1,0
64300,10170,610,2220,2220,15220,0.2367,-0.0134,-0.1677,3100,self,finance,1,0
58100,6360,550,360,2250,9520,0.1639,-0.1402,-0.2218,4950,self,hospitality,1,0
178900,46120,19690,6360,1830,74000,0.4136,0.2221,-0.0422,28270,tax_agent,construction,3,0
61300,12300,1750,1580,1930,17560,0.2865,0.0275,0.1669,5750,self,healthcare,2,0
54200,5550,1890,2560,2260,12260,0.2262,0.047,0.1768,5350,tax_agent,hospitality,1,0
26800,2890,780,40,1160,4870,0.1817,0.0984,0.2504,1050,tax_agent,hospitality,3,0
39700,4320,420,2060,1520,8320,0.2096,0.164,-0.1278,980,self,education,0,0
116600,9560,2010,3000,40,14610,0.1253,-0.0336,0.1573,3840,tax_agent,finance,1,0
48300,8290,890,1510,400,11090,0.2296,-0.1153,0.074,2820,self,IT,1,0
101700,26850,6750,1130,4410,39140,0.3849,-0.2413,-0.0033,12910,self,real_estate,0,0
35400,6820,820,2030,1360,11030,0.3116,0.0097,0.0124,2510,self,IT,2,0
44600,3600,270,280,650,4800,0.1076,0.2008,0.1665,510,tax_agent,retail,0,0
44000,3570,1460,2180,1730,8940,0.2032,-0.0568,-0.0117,1000,self,retail,0,0
93600,11150,530,5550,1300,18530,0.198,0.1168,-0.0246,3030,tax_agent,retail,2,0
64100,16360,840,3760,3020,23980,0.3741,0.1632,0.0449,8480,tax_agent,IT,0,0
39100,24090,3960,320,1670,30040,0.7683,0.0843,1.184,5380,self,real_estate,0,1
106700,10290,360,560,2470,13680,0.1282,0.209,0.2241,3610,tax_agent,finance,1,0
94500,13600,350,1450,680,16080,0.1702,0.021,0.1516,8060,self,education,3,0
86800,19510,1230,100,4180,25020,0.2882,-0.0364,0.1531,7860,self,education,0,0
84700,30860,7280,210,2830,41180,0.4862,0.1718,0.0249,15580,self,transport,0,0
45000,4850,1030,80,1190,7150,0.1589,-0.0494,0.1208,1840,tax_agent,hospitality,3,0
143900,22980,2370,2230,690,28270,0.1965,-0.1204,0.0686,9340,tax_agent,healthcare,0,0
68100,20660,5750,400,1560,28370,0.4166,0.1318,0.0252,10120,self,construction,3,0
83400,15200,3300,310,1370,20180,0.242,-0.0469,0.248,8460,self,IT,0,0
88900,9570,1540,1400,760,13270,0.1493,-0.013,-0.0981,3840,self,healthcare,0,0
42800,2570,380,2480,1680,7110,0.1661,-0.0912,0.134,710,tax_agent,hospitality,1,0
204300,22680,1160,940,5610,30390,0.1488,0.0792,0.1061,6150,self,retail,0,0
70900,6970,2700,2400,870,12940,0.1825,-0.1522,0.0609,4990,self,healthcare,1,0
73300,10410,2890,1320,10,14630,0.1996,0.1843,0.0229,5480,tax_agent,real_estate,0,0
57400,5300,300,780,880,7260,0.1265,0.0584,0.0083,690,tax_agent,healthcare,0,0
135500,21070,1150,1310,5100,28630,0.2113,0.1777,0.1073,11590,self,education,0,0
138700,22600,610,8190,1170,32570,0.2348,-0.0715,-0.0325,8320,self,healthcare,0,0
78500,15540,1900,1410,2300,21150,0.2694,0.0644,-0.0138,7000,tax_agent,healthcare,2,0
32200,6800,4440,1300,1060,13600,0.4224,0.2648,0.0042,2430,tax_agent,construction,0,0
65800,21140,4520,13800,310,39770,0.6044,0.0608,-0.059,10800,self,construction,1,1
69500,12700,2450,1760,960,17870,0.2571,0.31,-0.0131,6110,tax_agent,healthcare,2,0
56200,17120,4720,2310,2120,26270,0.4674,-0.0239,0.0198,6800,tax_agent,construction,1,0
41900,11660,410,1690,280,14040,0.3351,0.0036,0.0823,2530,self,IT,1,0
30600,8030,3760,990,1460,14240,0.4654,-0.0229,-0.0201,2210,tax_agent,transport,1,0
161700,21560,3580,2010,5900,33050,0.2044,0.0888,0.2592,9510,tax_agent,retail,0,0
108300,12490,870,6190,1470,21020,0.1941,0.2073,0.0534,4120,self,retail,4,0
73400,8230,1460,610,2570,12870,0.1753,0.0854,0.2072,5740,self,finance,1,0
50400,10790,1890,2210,2370,17260,0.3425,-0.0703,0.0853,6990,tax_agent,real_estate,0,0
87800,6430,1200,750,180,8560,0.0975,0.0684,-0.0272,2940,self,hospitality,1,0
80600,20460,9270,870,1200,31800,0.3945,0.329,0.1659,7760,tax_agent,construction,0,0
57700,9110,1740,1700,670,13220,0.2291,-0.0018,-0.0227,2630,tax_agent,healthcare,2,0
89200,14200,3240,2030,1300,20770,0.2328,0.0441,-0.1431,6380,tax_agent,education,0,0
95400,18190,2000,4670,2380,27240,0.2855,-0.0174,-0.0025,8570,self,education,1,0
105100,16910,4060,4210,4240,29420,0.2799,-0.0502,-0.2262,9190,self,IT,0,0
44200,4580,90,420,1110,6200,0.1403,0.0911,0.1944,980,tax_agent,retail,0,0
91300,28680,11970,490,1370,42510,0.4656,0.032,0.0318,12300,tax_agent,construction,3,0
137600,17940,5360,4320,4170,31790,0.231,0.0318,-0.0039,11020,tax_agent,retail,2,0
84700,13870,340,2210,3180,19600,0.2314,0.132,0.2005,8950,tax_agent,finance,0,0
242500,33070,860,7730,6980,48640,0.2006,-0.0066,0.0538,26130,tax_agent,healthcare,0,0
